"Cabauw UFP data (RIVM-LML)"
"Time Zone is Central European (Winter) Time, or UTC +1. In winter, this is equal to the local time."
"The UFP data were filtered based on instrument error codes and hourly averaged pulse height (> 2000 mV), with some manual adjustments around maintenance times."
"The data in the last column are adjusted towards a common scale (the EPC3783 operated by GGD-Amsterdam at Ookmeer), based on regression coefficients obtained during a comparison effort at Ookmeer station in the summer of 2022."
"Due to the needs of our software developers and technical difficulties, the instrument at this site was reinstalled later (January 2023) than at the other sites (autumn 2022)."
"The EPC was removed form this station on 3 May 2023 to be used in a different field experiment."
""
Start time of 1hr averaging interval [UTC +1],Site number,Site name,Latitude,Longitude,Instrument,Checked UFP concentrations [#/cm3],Checked UFP concentrations adjusted with Ookmeer regressions [#/cm3]
2023-01-10 00:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 01:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 02:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 03:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 04:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 05:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 06:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 07:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 08:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 09:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 10:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 11:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 12:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 13:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,11270.06,13976.70772602636
2023-01-10 14:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,10960.69,13572.726476562826
2023-01-10 15:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,,
2023-01-10 16:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,8470.77,10321.341427384677
2023-01-10 17:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,6471.72,7710.943791091309
2023-01-10 18:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,4505.22,5143.0505659239025
2023-01-10 19:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,3889.47,4338.992466052643
2023-01-10 20:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,3881.44,4328.506738822492
2023-01-10 21:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,4049.64,4548.145508450337
2023-01-10 22:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,3601.44,3962.8773958034863
2023-01-10 23:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,3573.06,3925.818250250345
2023-01-11 00:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,3691.33,4080.2574731034083
2023-01-11 01:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,4226.64,4779.275486001637
2023-01-11 02:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,3348.69,3632.8316227747237
2023-01-11 03:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,3011.67,3192.7444756880614
2023-01-11 04:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,2425,2426.659594727491
2023-01-11 05:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,2962.17,3128.10643111863
2023-01-11 06:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,8864.61,10835.625214722551
2023-01-11 07:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,8727.63,10656.754116841325
2023-01-11 08:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,8611.53,10505.148521396659
2023-01-11 09:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,9012.72,11029.030078988782
2023-01-11 10:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,11555.86,14349.910819722189
2023-01-11 11:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,8695,10614.14524018879
2023-01-11 12:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,6169.97,7316.9128830342215
2023-01-11 13:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,5110.33,5933.2147507604395
2023-01-11 14:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,5315.14,6200.65955698802
2023-01-11 15:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,4562.28,5217.5606027548465
2023-01-11 16:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,9959.69,12265.601575269882
2023-01-11 17:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,9093.08,11133.965700435238
2023-01-11 18:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,8381.19,10204.36615400024
2023-01-11 19:00,644,Cabauw-Wielsekade,51.974489,4.923301,EPC3783 RIVM-2,7448.83,8986.87267451024
