datetime,Date,Time,time24,Wind Dir,winddir_deg,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Run,Hi Speed,Hi Dir,Wind Chill,Heat Index,THW Index,Bar,Rain,Rain Rate,Heat D-D,Cool D-D,In  Temp,In Hum,In  Dew,In  Heat,In  EMC,In Air Density,Wind Samp,Wind Tx,ISS  Recept,Arc. Int.
2023-05-24 00:05:00,24-05-23,12:05 a,,---,,20.6,20.6,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.5,0,0,0,0.008,21.5,37,6.2,20.1,7.34,1.2018,115,1,100,5
2023-05-24 00:10:00,24-05-23,12:10 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.5,0,0,0,0.008,21.5,37,6.2,20.1,7.34,1.2019,117,1,100,5
2023-05-24 00:15:00,24-05-23,12:15 a,,---,,20.6,20.6,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.4,0,0,0,0.008,21.5,37,6.2,20.1,7.34,1.2018,117,1,100,5
2023-05-24 00:20:00,24-05-23,12:20 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.4,0,0,0,0.008,21.5,37,6.2,20.1,7.34,1.2018,117,1,100,5
2023-05-24 00:25:00,24-05-23,12:25 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.5,0,0,0,0.008,21.6,37,6.2,20.2,7.33,1.2017,117,1,100,5
2023-05-24 00:30:00,24-05-23,12:30 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.5,0,0,0,0.008,21.5,37,6.2,20.1,7.34,1.2019,117,1,100,5
2023-05-24 00:35:00,24-05-23,12:35 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.6,0,0,0,0.008,21.6,37,6.2,20.2,7.33,1.2017,118,1,100,5
2023-05-24 00:40:00,24-05-23,12:40 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.5,0,0,0,0.008,21.6,37,6.2,20.2,7.33,1.2016,117,1,100,5
2023-05-24 00:45:00,24-05-23,12:45 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.4,0,0,0,0.008,21.6,37,6.2,20.2,7.33,1.2015,117,1,100,5
2023-05-24 00:50:00,24-05-23,12:50 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.4,0,0,0,0.008,21.6,37,6.2,20.2,7.33,1.2015,117,1,100,5
2023-05-24 00:55:00,24-05-23,12:55 a,,---,,20.7,20.7,20.6,41,6.9,0,0,0,---,20.7,19.3,19.3,1025.3,0,0,0,0.008,21.6,37,6.2,20.2,7.33,1.2014,117,1,100,5
2023-05-24 01:00:00,24-05-23,1:00 a,,---,,20.6,20.7,20.6,41,6.9,0,0,0,---,20.6,19.3,19.3,1025.4,0,0,0,0.008,21.6,37,6.2,20.2,7.33,1.2015,117,1,100,5
