"Utrecht-Griftpark UFP data (RIVM-LML)"
"Time Zone is Central European (Winter) Time, or UTC +1. In winter, this is equal to the local time."
"The UFP data were filtered based on instrument error codes and hourly averaged pulse height (> 600 mV for EPC1, > 2000 mV for EPC3), with some manual adjustments around maintenance times."
"The data in the last column are adjusted towards a common scale (the EPC3783 operated by GGD-Amsterdam at Ookmeer), based on regression coefficients obtained during a comparison effort at Ookmeer station in the summer of 2022."
""
""
""
Start time of 1hr averaging interval [UTC +1],Site number,Site name,Latitude,Longitude,Instrument,Checked UFP concentrations [#/cm3],Checked UFP concentrations adjusted with Ookmeer regressions [#/cm3]
2022-10-19 00:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 01:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 02:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 03:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 04:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 05:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 06:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 07:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 08:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 09:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 10:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,,
2022-10-19 11:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6585.14,7180.906899495026
2022-10-19 12:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7729.64,8456.632373962651
2022-10-19 13:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,8793.36,9642.315817999963
2022-10-19 14:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,8564.44,9387.148429957037
2022-10-19 15:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9277.89,10182.40080196134
2022-10-19 16:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,12053.86,13276.656499084884
2022-10-19 17:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,14975.28,16533.039125226616
2022-10-19 18:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,13206.39,14561.332673036977
2022-10-19 19:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,8931.61,9796.417213233819
2022-10-19 20:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6749.64,7364.26805331759
2022-10-19 21:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,5730.17,6227.908202329813
2022-10-19 22:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6157.44,6704.167899556359
2022-10-19 23:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6175.61,6724.421225787094
2022-10-20 00:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6189.33,6739.714326276126
2022-10-20 01:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,5888.08,6403.923763424774
2022-10-20 02:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,5662.83,6152.847168296917
2022-10-20 03:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6929.64,7564.906397925866
2022-10-20 04:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7798.89,8533.822403763335
2022-10-20 05:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,10013.1,11001.908120513846
2022-10-20 06:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9976.86,10961.51293379938
2022-10-20 07:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9779.06,10741.033686224284
2022-10-20 08:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,10544.72,11594.48232473969
2022-10-20 09:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,11123.33,12239.434283482995
2022-10-20 10:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,11647.22,12823.392185465384
2022-10-20 11:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,10192.53,11201.911110364197
2022-10-20 12:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,10075.86,11071.864023333932
2022-10-20 13:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9520.25,10452.549186401684
2022-10-20 14:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9117.11,10003.186173927348
2022-10-20 15:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,10042.22,11034.366946041584
2022-10-20 16:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9825.78,10793.110483224833
2022-10-20 17:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,11098.28,12211.512113858345
2022-10-20 18:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,11191.69,12315.63226813534
2022-10-20 19:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,8629,9459.110716223204
2022-10-20 20:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,8448.5,9257.915042879904
2022-10-20 21:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,8053.94,8818.115791498562
2022-10-20 22:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7173.28,7836.481543927868
2022-10-20 23:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6785.11,7403.80495378012
2022-10-21 00:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6365.06,6935.593083487306
2022-10-21 01:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,5793.19,6298.15391609211
2022-10-21 02:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,5033.5,5451.359782672879
2022-10-21 03:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,4763.67,5150.591757530372
2022-10-21 04:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6334.5,6901.529151202701
2022-10-21 05:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7812.47,8548.95945220656
2022-10-21 06:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9407.61,10326.994168975705
2022-10-21 07:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,11282.36,12416.69826094441
2022-10-21 08:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,13229.72,14587.337631813149
2022-10-21 09:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,13008.89,14341.187822702896
2022-10-21 10:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,17534.72,19385.9380403611
2022-10-21 11:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,16013.33,17690.109312007844
2022-10-21 12:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,16795.83,18562.328782318826
2022-10-21 13:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,17539.72,19391.51132771133
2022-10-21 14:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,15710.83,17352.925427318936
2022-10-21 15:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,15491.51,17108.45875098845
2022-10-21 16:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,17008.61,18799.50559879521
2022-10-21 17:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,18812.5,20810.225062436453
2022-10-21 18:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,21301.11,23584.172788967582
2022-10-21 19:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,18344.72,20288.810591098347
2022-10-21 20:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,17040.28,18834.806800871564
2022-10-21 21:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,15321.67,16919.14532627584
2022-10-21 22:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,14600.28,16115.04257395937
2022-10-21 23:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,13204.72,14559.471195062
2022-10-22 00:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,10739.89,11812.030023168563
2022-10-22 01:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9488.06,10416.668362440903
2022-10-22 02:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7666.31,8386.041116384638
2022-10-22 03:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6858.36,7485.453613460988
2022-10-22 04:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7386.83,8074.516646656188
2022-10-22 05:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7948.72,8700.831532500324
2022-10-22 06:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7789.83,8523.723607084718
2022-10-22 07:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7378.56,8065.298429378909
2022-10-22 08:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,8396,9199.39552570249
2022-10-22 09:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,8352.33,9150.718433985583
2022-10-22 10:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7653.28,8371.517129549939
2022-10-22 11:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,5689.86,6182.976359712259
2022-10-22 12:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6332.78,6899.611940354222
2022-10-22 13:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,6223.44,6777.735292579393
2022-10-22 14:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,5942.03,6464.059533933754
2022-10-22 15:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,7313.31,7992.567029458408
2022-10-22 16:00,643,Utrecht-Griftpark,52.101308,5.128183,EPC3783 RIVM-3,9044.89,9922.685611440626
